Description,Price_cleaned,Price,Rating,Url
PS4 Horizon Forbidden West standard (PS4),"3,905","₹3,905",4.5 out of 5 stars,https://www.amazon.com//PS4-Horizon-Forbidden-West-standard/dp/B09FJYNS3W/ref=sr_1_1?keywords=ps4+games&qid=1646857932&sr=8-1
Babylon's Fall (PS4),"3,999","₹3,999",,https://www.amazon.com//Square-Enix-Babylons-Fall-PS4/dp/B09QWYK634/ref=sr_1_omk_2?keywords=ps4+games&qid=1646857932&sr=8-2
Grand Theft Auto V - Premium Edition (PS4),"1,479","₹1,479",4.5 out of 5 stars,https://www.amazon.com//Grand-Theft-V-Premium-PS4/dp/B07D381RDJ/ref=sr_1_3?keywords=ps4+games&qid=1646857932&sr=8-3
Sony Uncharted Collection Hits (PS4),979,₹979,4.6 out of 5 stars,https://www.amazon.com//Sony-Uncharted-Collection-Hits-PS4/dp/B07M5V17R9/ref=sr_1_4?keywords=ps4+games&qid=1646857932&sr=8-4
FIFA 22 (PS4),"2,999","₹2,999",4.6 out of 5 stars,https://www.amazon.com//Electronic-Arts-FIFA-22-PS4/dp/B0999ZP8G6/ref=sr_1_5?keywords=ps4+games&qid=1646857932&sr=8-5
Sony PS4 God of War (Playstation 4),999,₹999,4.7 out of 5 stars,https://www.amazon.com//PS4-God-of-War/dp/B07YQ73Y8T/ref=sr_1_6?keywords=ps4+games&qid=1646857932&sr=8-6
Sony Marvel's Spider-Man G.O.T.Y Ps4,"1,294","₹1,294",4.6 out of 5 stars,https://www.amazon.com//Marvels-Spider-Man-PS4-Game/dp/B07X23YRCS/ref=sr_1_7?keywords=ps4+games&qid=1646857932&sr=8-7
PS4 Marvel's Spider-Man: Miles Morales (PS4),"2,773","₹2,773",4.5 out of 5 stars,https://www.amazon.com//PS4-Marvels-Spider-Man-Miles-Morales/dp/B08LFBM5JV/ref=sr_1_8?keywords=ps4+games&qid=1646857932&sr=8-8
Anthem (PS4),499,₹499,3.0 out of 5 stars,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03119871WIED4DIISWPM&url=%2FElectronic-Arts-Anthem-PS4%2Fdp%2FB07DVV7WHP%2Fref%3Dsr_1_9_sspa%3Fkeywords%3Dps4%2Bgames%26qid%3D1646857932%26sr%3D8-9-spons%26psc%3D1%26smid%3DA3859KXGMXTZTJ&qualifier=1646857932&id=5161796360809454&widgetName=sp_mtf
Sony PS4 Ghost of Tsushima (PS4),"1,999","₹1,999",4.7 out of 5 stars,https://www.amazon.com//PS4-Ghost-of-Tsushima/dp/B085LZSG6F/ref=sr_1_10?keywords=ps4+games&qid=1646857932&sr=8-10
Sony The Last of US Hit (PS4),959,₹959,4.6 out of 5 stars,https://www.amazon.com//Last-US-Hit-PS4/dp/B07FXTHTNY/ref=sr_1_11?keywords=ps4+games&qid=1646857932&sr=8-11
Red Dead Redemption - 2 (PS4),"1,999","₹1,999",4.7 out of 5 stars,https://www.amazon.com//Red-Dead-Redemption-2-PS4/dp/B07BFGGNT9/ref=sr_1_12?keywords=ps4+games&qid=1646857932&sr=8-12
UBI Soft Tom Clancy's Ghost Recon Breakpoint (PS4),701,₹701,4.0 out of 5 stars,https://www.amazon.com//Tom-Clancys-Ghost-Recon-Breakpoint/dp/B07S1XKYGT/ref=sr_1_13?keywords=ps4+games&qid=1646857932&sr=8-13
WWE 2K20 (PS4),"1,499","₹1,499",4.0 out of 5 stars,https://www.amazon.com//2K-Games-WWE-2K20-PS4/dp/B07W6G9SCB/ref=sr_1_14?keywords=ps4+games&qid=1646857932&sr=8-14
ROCKSTAR GAMES Grand Theft Auto for PS4,"1,599","₹1,599",4.5 out of 5 stars,https://www.amazon.com//GRAND-THEFT-AUTO-PREMIUM-PS4/dp/B07H3TF8L7/ref=sr_1_15?keywords=ps4+games&qid=1646857932&sr=8-15
Sony Horizon: Zero Dawn - Complete Edition (Playstation 4),739,₹739,4.5 out of 5 stars,https://www.amazon.com//Horizon-Zero-Dawn-Complete-PS4/dp/B07D2NY7RW/ref=sr_1_16?keywords=ps4+games&qid=1646857932&sr=8-16
Uncharted: The Lost Legacy (PS4),"1,089","₹1,089",4.6 out of 5 stars,https://www.amazon.com//Uncharted-The-Lost-Legacy-PS4/dp/B01LTI9IEA/ref=sr_1_17?keywords=ps4+games&qid=1646857932&sr=8-17
Pro Evolution Soccer 2019 - David Beckham Special Edition (PS4),719,₹719,5.0 out of 5 stars,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0767611RM485FHQD4ZL&url=%2FPro-Evolution-Soccer-2019-Beckham%2Fdp%2FB07GM8MK2D%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dps4%2Bgames%26qid%3D1646857938%26sr%3D8-17-spons%26psc%3D1%26smid%3DA3859KXGMXTZTJ&qualifier=1646857938&id=4182053369734064&widgetName=sp_atf_next
Sony The Last of Us Part II (PS4),"1,899","₹1,899",4.7 out of 5 stars,https://www.amazon.com//PS4-Last-Us-Part-II/dp/B07YQ8JMSH/ref=sr_1_18?keywords=ps4+games&qid=1646857938&sr=8-18
Sony Uncharted 4 TE Hit (PS4),"1,099","₹1,099",4.7 out of 5 stars,https://www.amazon.com//Uncharted-Thiefs-Playstation-Newer-Version/dp/B07GLGSHWN/ref=sr_1_19?keywords=ps4+games&qid=1646857938&sr=8-19
Tekken 7 (PS4),"1,300","₹1,300",4.4 out of 5 stars,https://www.amazon.com//Namco-217940-Tekken-7-PS4/dp/B071WC5TKG/ref=sr_1_20?keywords=ps4+games&qid=1646857938&sr=8-20
Sony Infamous Second Son Hit (PS4),911,₹911,4.5 out of 5 stars,https://www.amazon.com//Infamous-Second-Son-Hit-PS4/dp/B07GQJ534Z/ref=sr_1_21?keywords=ps4+games&qid=1646857938&sr=8-21
Assassins Creed: Odyssey (PS4),"1,290","₹1,290",4.5 out of 5 stars,https://www.amazon.com//UBI-Soft-Assassins-Creed-Odyssey/dp/B07DS1FFHK/ref=sr_1_22?keywords=ps4+games&qid=1646857938&sr=8-22
Borderlands 3 (PS4),599,₹599,4.4 out of 5 stars,https://www.amazon.com//2K-GAMES-225103-Borderlands-PS4/dp/B07QZ67JWM/ref=sr_1_23?keywords=ps4+games&qid=1646857938&sr=8-23
WB Games Mortal Kombat 11 (PS4),"1,512","₹1,512",4.4 out of 5 stars,https://www.amazon.com//WB-Games-Mortal-Kombat-PS4/dp/B07MQ6JBZM/ref=sr_1_24?keywords=ps4+games&qid=1646857938&sr=8-24
Just Cause 4 (PS4),882,₹882,4.0 out of 5 stars,https://www.amazon.com//Square-Enix-Just-Cause-PS4/dp/B07DRSBSSL/ref=sr_1_25?keywords=ps4+games&qid=1646857938&sr=8-25
Need for Speed Payback (PS4),"1,280","₹1,280",4.3 out of 5 stars,https://www.amazon.com//Need-for-Speed-Payback-PS4/dp/B0721MPVYV/ref=sr_1_26?keywords=ps4+games&qid=1646857938&sr=8-26
Sony PS4 GT Sport,649,₹649,4.2 out of 5 stars,https://www.amazon.com//SIEE-220427-Gran-Turismo-Sport/dp/B0743HVKTF/ref=sr_1_27?keywords=ps4+games&qid=1646857938&sr=8-27
Watch Dogs 2 (PS4),"1,068","₹1,068",4.3 out of 5 stars,https://www.amazon.com//UBI-Soft-Watch-Dogs-PS4/dp/B01H3PRC0U/ref=sr_1_28?keywords=ps4+games&qid=1646857938&sr=8-28
F1 2021 (PS4),"2,290","₹2,290",4.7 out of 5 stars,https://www.amazon.com//Electronic-Arts-F1-2021-PS4/dp/B0933GGTVH/ref=sr_1_29?keywords=ps4+games&qid=1646857938&sr=8-29
Need for Speed Heat (PS4),"1,599","₹1,599",4.4 out of 5 stars,https://www.amazon.com//Need-for-Speed-Heat-PS4/dp/B07WQ4KTT6/ref=sr_1_30?keywords=ps4+games&qid=1646857938&sr=8-30
PS4 Ghost of Tsushima Director's Cut (PS4),"2,499","₹2,499",4.6 out of 5 stars,https://www.amazon.com//PS4-Ghost-Tsushima-Directors-Cut/dp/B099B7JN4V/ref=sr_1_31?keywords=ps4+games&qid=1646857938&sr=8-31
NBA 2K22 (PS4),"2,299","₹2,299",4.8 out of 5 stars,https://www.amazon.com//2K-GAMES-NBA-2K22-PS4/dp/B098TXQJP2/ref=sr_1_32?keywords=ps4+games&qid=1646857938&sr=8-32
Cyberpunk 2077 (Free PS5 Upgrade),"1,599","₹1,599",4.0 out of 5 stars,https://www.amazon.com//CD-PROJEKT-RED-Cyberpunk-2077/dp/B07DRTM3JN/ref=sr_1_33?keywords=ps4+games&qid=1646857938&sr=8-33
Marvel's Avengers (Free PS5 Upgrade),"1,428","₹1,428",4.0 out of 5 stars,https://www.amazon.com//Square-Enix-Marvels-Avengers-PS4/dp/B07YSTD51Q/ref=sr_1_33?keywords=ps4+games&qid=1646857942&sr=8-33
UBI Soft Far Cry 5 (PS4),"1,299","₹1,299",4.4 out of 5 stars,https://www.amazon.com//UBI-Soft-Far-Cry-PS4/dp/B078G9XKR7/ref=sr_1_34?keywords=ps4+games&qid=1646857942&sr=8-34
Injustice 2 - Legendary Edition (PS4),"1,356","₹1,356",4.4 out of 5 stars,https://www.amazon.com//Injustice-2-Legendary-Edition-PS4/dp/B07C1ZGZDG/ref=sr_1_35?keywords=ps4+games&qid=1646857942&sr=8-35
Division 2 (PS4) (PS4),575,₹575,3.7 out of 5 stars,https://www.amazon.com//Tom-Clancys-Division-2-PS4/dp/B07Y8NNJ7X/ref=sr_1_36?keywords=ps4+games&qid=1646857942&sr=8-36
Cricket 19 International Edition (PS4),"2,000","₹2,000",4.1 out of 5 stars,https://www.amazon.com//Cricket-19-International-Edition-PS4/dp/B07QNQN449/ref=sr_1_37?keywords=ps4+games&qid=1646857942&sr=8-37
Need For Speed: Rivals Hits (PS4),"1,299","₹1,299",4.2 out of 5 stars,https://www.amazon.com//Need-For-Speed-Rivals-PS4/dp/B00D781QO6/ref=sr_1_38?keywords=ps4+games&qid=1646857942&sr=8-38
Cricket 22 International Edition (PS4),"3,499","₹3,499",3.7 out of 5 stars,https://www.amazon.com//Cricket-22-International-Edition-PS4/dp/B09HXVG7ND/ref=sr_1_39?keywords=ps4+games&qid=1646857942&sr=8-39
UBI Soft Far Cry: New Dawn (PS4).,840,₹840,4.4 out of 5 stars,https://www.amazon.com//Far-Cry-New-Dawn-PS4/dp/B07M7F7C2W/ref=sr_1_40?keywords=ps4+games&qid=1646857942&sr=8-40
Battlefield V (PS4),"1,499","₹1,499",4.4 out of 5 stars,https://www.amazon.com//Electronic-Arts-Battlefield-V-PS4/dp/B07D9QBZ88/ref=sr_1_41?keywords=ps4+games&qid=1646857942&sr=8-41
Electronic Arts Sports FIFA 18 (PS4),587,₹587,4.5 out of 5 stars,https://www.amazon.com//EA-Sports-FIFA-18-PS4/dp/B071ZZZ3K9/ref=sr_1_42?keywords=ps4+games&qid=1646857942&sr=8-42
Marvel's Avengers - PS4 (Free PS5 Upgrade),"1,469","₹1,469",3.2 out of 5 stars,https://www.amazon.com//Marvels-Avengers-PS4-Free-Upgrade/dp/B096GCXLJL/ref=sr_1_43?keywords=ps4+games&qid=1646857942&sr=8-43
Assassin’s Creed: The Ezio Collection (PS4),"1,299","₹1,299",4.5 out of 5 stars,https://www.amazon.com//Assassins-Creed-Ezio-Collection-PS4/dp/B01N8REF82/ref=sr_1_44?keywords=ps4+games&qid=1646857942&sr=8-44
PS4 watch dogs legion (PS4),"1,489","₹1,489",4.5 out of 5 stars,https://www.amazon.com//UBI-Soft-E3_2019_Placeholder15-watch-legion/dp/B07SH36GRX/ref=sr_1_45?keywords=ps4+games&qid=1646857942&sr=8-45
WB Games Hitman 2 (PS4),"1,229","₹1,229",4.3 out of 5 stars,https://www.amazon.com//WB-Games-Hitman-2-PS4/dp/B07DW7VTD2/ref=sr_1_46?keywords=ps4+games&qid=1646857942&sr=8-46
Mafia: Trilogy (PS4),"2,649","₹2,649",4.5 out of 5 stars,https://www.amazon.com//2K-Games-Mafia-Trilogy-PS4/dp/B089H44M8V/ref=sr_1_47?keywords=ps4+games&qid=1646857942&sr=8-47
Cars 3: Driven to Win (PS4),"1,340","₹1,340",4.1 out of 5 stars,https://www.amazon.com//Cars-3-Driven-Win-PS4/dp/B072125M4Q/ref=sr_1_48?keywords=ps4+games&qid=1646857942&sr=8-48
Marvel's Spider Man (PS4),"1,449","₹1,449",4.6 out of 5 stars,https://www.amazon.com//Sony-195229-Marvels-Spider-Man/dp/B07CR4GQD3/ref=sr_1_49?keywords=ps4+games&qid=1646857946&sr=8-49
Sony Days Gone - (PS4).,"1,459","₹1,459",4.4 out of 5 stars,https://www.amazon.com//Sony-GVS09Z0-Days-Gone-PS4/dp/B01GVS09Z0/ref=sr_1_50?keywords=ps4+games&qid=1646857946&sr=8-50
Sony PS4 Gran Turismo: Sport (PS4),649,₹649,4.2 out of 5 stars,https://www.amazon.com//PS4-Gran-Turismo-Sport/dp/B07YQ76G6M/ref=sr_1_51?keywords=ps4+games&qid=1646857946&sr=8-51
Marvel's Guardians of the Galaxy (PS4),"3,188","₹3,188",4.5 out of 5 stars,https://www.amazon.com//Square-Enix-Marvels-Guardians-Galaxy/dp/B097J92M1F/ref=sr_1_52?keywords=ps4+games&qid=1646857946&sr=8-52
Rise of the Tomb Raider - 20 Year Celebration (PS4),982,₹982,4.5 out of 5 stars,https://www.amazon.com//Rise-Tomb-Raider-Year-Celebration/dp/B01MDKLX4M/ref=sr_1_53?keywords=ps4+games&qid=1646857946&sr=8-53
Ace Combat 7 : Skies Unknown (PS4),"1,499","₹1,499",4.5 out of 5 stars,https://www.amazon.com//Ace-Combat-7-Skies-PS4/dp/B07MQ6JSBC/ref=sr_1_54?keywords=ps4+games&qid=1646857946&sr=8-54
Capcom Devil May Cry 5 (PS4),"1,450","₹1,450",4.4 out of 5 stars,https://www.amazon.com//Devil-May-Cry-5-PS4/dp/B07DRSF215/ref=sr_1_55?keywords=ps4+games&qid=1646857946&sr=8-55
UBI Soft Tom Clancy's Ghost Recon: Wildlands (PS4),"1,129","₹1,129",4.3 out of 5 stars,https://www.amazon.com//Tom-Clancys-Ghost-Recon-Wildlands/dp/B010UR9SLO/ref=sr_1_56?keywords=ps4+games&qid=1646857946&sr=8-56
The Crew 2 (PS4),"1,129","₹1,129",4.2 out of 5 stars,https://www.amazon.com//UBI-Soft-The-Crew-PS4/dp/B078HCG2FT/ref=sr_1_57?keywords=ps4+games&qid=1646857946&sr=8-57
Sony PS4 Minecraft Bedrock Ed. (PS4),"1,499","₹1,499",4.4 out of 5 stars,https://www.amazon.com//PS4-Minecraft-Bedrock-Ed/dp/B082KW6F8Z/ref=sr_1_58?keywords=ps4+games&qid=1646857946&sr=8-58
Mortal Kombat 11: Ultimate Edition (Free PS5 Upgrade),"1,889","₹1,889",4.6 out of 5 stars,https://www.amazon.com//Mortal-Kombat-11-Ultimate-Upgrade/dp/B08LLS8T3M/ref=sr_1_59?keywords=ps4+games&qid=1646857946&sr=8-59
Electronic Arts Titanfall 2 (PS4),692,₹692,4.4 out of 5 stars,https://www.amazon.com//Electronic-Arts-193514-Titanfall-PS4/dp/B01C8MQP6A/ref=sr_1_60?keywords=ps4+games&qid=1646857946&sr=8-60
Sony God of War (PS4),989,₹989,4.6 out of 5 stars,https://www.amazon.com//Sony-3001886-God-War-PS4/dp/B01GW8XOY2/ref=sr_1_61?keywords=ps4+games&qid=1646857946&sr=8-61
PS4 Nioh 2 - Special Edition (PS4),"1,882","₹1,882",4.4 out of 5 stars,https://www.amazon.com//PS4-Nioh-2-Special/dp/B085SC7VNS/ref=sr_1_62?keywords=ps4+games&qid=1646857946&sr=8-62
Shadow of the Tomb Raider Definitive Edition (PS4),"1,289","₹1,289",4.6 out of 5 stars,https://www.amazon.com//Shadow-Tomb-Raider-Definitive-PS4/dp/B0813CSZPK/ref=sr_1_63?keywords=ps4+games&qid=1646857946&sr=8-63
Assassin's Creed Origins (PS4),"1,100","₹1,100",4.5 out of 5 stars,https://www.amazon.com//UBI-Soft-Assassins-Creed-Origins/dp/B074MJ7BFX/ref=sr_1_64?keywords=ps4+games&qid=1646857946&sr=8-64
Assassin's Creed Valhalla Drakkar Edition (Free PS5 Upgrade),"2,345","₹2,345",4.5 out of 5 stars,https://www.amazon.com//Assassins-Creed-Valhalla-Drakkar-PS4/dp/B0894KKNVL/ref=sr_1_65?keywords=ps4+games&qid=1646857952&sr=8-65
Far Cry 6 Yara Edition (PS4),"3,189","₹3,189",4.5 out of 5 stars,https://www.amazon.com//Far-Cry-6-Yara-PS4/dp/B08D6WJQFG/ref=sr_1_66?keywords=ps4+games&qid=1646857952&sr=8-66
FIFA 21 Standard Edition (Free PS5 Upgrade),"1,299","₹1,299",4.5 out of 5 stars,https://www.amazon.com//FIFA-21-Standard-Edition-PS4/dp/B08BJ6LMMN/ref=sr_1_67?keywords=ps4+games&qid=1646857952&sr=8-67
Uncharted -The Nathan Drake Collection 3 in 1 (PS4),979,₹979,4.6 out of 5 stars,https://www.amazon.com//Uncharted-Nathan-Drake-Collection-PS4/dp/B00KJFDSJQ/ref=sr_1_68?keywords=ps4+games&qid=1646857952&sr=8-68
Resident Evil 3 Remake (PS4),"1,955","₹1,955",4.3 out of 5 stars,https://www.amazon.com//Resident-Evil-3-Remake-PS4/dp/B082P5LJDX/ref=sr_1_69?keywords=ps4+games&qid=1646857952&sr=8-69
Square Enix Shadow of the Tomb Raider (PS4),"1,125","₹1,125",4.4 out of 5 stars,https://www.amazon.com//Square-Enix-Shadow-Tomb-Raider/dp/B07CTX3PH6/ref=sr_1_70?keywords=ps4+games&qid=1646857952&sr=8-70
ACTIVISION Call of Duty: Black Ops 4 - Standard Edition (PS4),"1,276","₹1,276",3.3 out of 5 stars,https://www.amazon.com//Call-Duty-Black-Ops-Standard/dp/B07FX14DLX/ref=sr_1_71?keywords=ps4+games&qid=1646857952&sr=8-71
Batman Arkham Collection (PS4),"1,799","₹1,799",4.5 out of 5 stars,https://www.amazon.com//WB-Games-Batman-Arkham-Collection/dp/B0842LZBN5/ref=sr_1_72?keywords=ps4+games&qid=1646857952&sr=8-72
Capcom Resident Evil 2 (PS4),"1,589","₹1,589",4.3 out of 5 stars,https://www.amazon.com//Resident-Evil-2-Remake-PS4/dp/B07DWMN718/ref=sr_1_73?keywords=ps4+games&qid=1646857952&sr=8-73
WWE 2K Battlegrounds (PS4),783,₹783,4.1 out of 5 stars,https://www.amazon.com//2K-Games-WWE-Battlegrounds-PS4/dp/B08CRYFKPK/ref=sr_1_74?keywords=ps4+games&qid=1646857952&sr=8-74
Naruto Shippuden - Ultimate Ninja Storm 4: Road to Boruto (PS4),"1,540","₹1,540",4.5 out of 5 stars,https://www.amazon.com//Naruto-Shippuden-Ultimate-Ninja-Boruto/dp/B01MZ5TD39/ref=sr_1_75?keywords=ps4+games&qid=1646857952&sr=8-75
Naruto Shippūden: Ultimate Ninja Storm 4 (PS4),"1,940","₹1,940",4.5 out of 5 stars,https://www.amazon.com//Naruto-Shipp%C5%ABden-Ultimate-Ninja-Storm/dp/B019W7VDLG/ref=sr_1_76?keywords=ps4+games&qid=1646857952&sr=8-76
WWE 2K20 - PS4,"1,499","₹1,499",3.7 out of 5 stars,https://www.amazon.com//2K-GAMES-WWE-2K20-PS4/dp/B08NF3HJRH/ref=sr_1_77?keywords=ps4+games&qid=1646857952&sr=8-77
Dying Light 2 (PS4),"3,999","₹3,999",4.4 out of 5 stars,https://www.amazon.com//Techland-Dying-Light-2-PS4/dp/B09DGV8JMD/ref=sr_1_78?keywords=ps4+games&qid=1646857952&sr=8-78
Star Wars Jedi: Fallen Order (PS4),"1,589","₹1,589",4.6 out of 5 stars,https://www.amazon.com//Star-Wars-Jedi-Fallen-Order/dp/B07QN7HVMH/ref=sr_1_79?keywords=ps4+games&qid=1646857952&sr=8-79
God of War Remastered - Hits (PS4),889,₹889,4.7 out of 5 stars,https://www.amazon.com//God-War-Remastered-Hits-PS4/dp/B07TW6ZD3M/ref=sr_1_80?keywords=ps4+games&qid=1646857952&sr=8-80
Sony PS4 Death Stranding (PS4),"1,599","₹1,599",4.5 out of 5 stars,https://www.amazon.com//SIEE-025626-001-PS4-Death-Stranding/dp/B07V7KV81S/ref=sr_1_81?keywords=ps4+games&qid=1646857960&sr=8-81
Dragon Ball Z: Kakarot (PS4),"2,199","₹2,199",4.3 out of 5 stars,https://www.amazon.com//Dragon-Ball-Z-Kakarot-PS4/dp/B082Z184RP/ref=sr_1_82?keywords=ps4+games&qid=1646857960&sr=8-82
Big Bash Boom (PS4),379,₹379,3.4 out of 5 stars,https://www.amazon.com//Big-Ant-Studios-Bash-Boom/dp/B082P5L2C9/ref=sr_1_83?keywords=ps4+games&qid=1646857960&sr=8-83
PS4 Marvel's Spider-Man: Miles Morales (PS4)&Thrustmaster T-16000M FCS | Fight Game Controller | Joystick | PC,"8,272","₹8,272",,https://www.amazon.com//PS4-Marvels-Spider-Man-Thrustmaster-Controller/dp/B0982P95P4/ref=sr_1_84?keywords=ps4+games&qid=1646857960&sr=8-84
LEGO: Marvel Avengers (PS4),"1,299","₹1,299",3.8 out of 5 stars,https://www.amazon.com//Warner-Bros-LEGO-Marvel-Avengers/dp/B010UR9I2S/ref=sr_1_85?keywords=ps4+games&qid=1646857960&sr=8-85
Rider's Republic Freeride Edition (PS4),"3,999","₹3,999",3.8 out of 5 stars,https://www.amazon.com//Riders-Republic-Freeride-Free-Upgrade/dp/B08KG4DMQC/ref=sr_1_86?keywords=ps4+games&qid=1646857960&sr=8-86
Jump Force (PS4),"1,589","₹1,589",4.5 out of 5 stars,https://www.amazon.com//Namco-Jump-Force-PS4/dp/B07MQ6L4Q3/ref=sr_1_87?keywords=ps4+games&qid=1646857960&sr=8-87
efootball PES 2021 Season Update (PS4),"1,180","₹1,180",4.2 out of 5 stars,https://www.amazon.com//efootball-PES-2021-Season-Update/dp/B08D85LJ77/ref=sr_1_88?keywords=ps4+games&qid=1646857960&sr=8-88
Ratchet and Clank (PS4),"1,713","₹1,713",4.5 out of 5 stars,https://www.amazon.com//STAR-WARS-Jedi-Fallen-Order/dp/B07W7KV12B/ref=sr_1_89?keywords=ps4+games&qid=1646857960&sr=8-89
Bloodborn Hits (PS4),579,₹579,4.4 out of 5 stars,https://www.amazon.com//Sony-165583-Ratchet-and-Clank/dp/B01EADW29E/ref=sr_1_90?keywords=ps4+games&qid=1646857960&sr=8-90
Doom Eternal (Free PS5 Upgrade),898,₹898,4.4 out of 5 stars,https://www.amazon.com//Sony-CUSA-00207-H-Bloodborn/dp/B07GQ38L35/ref=sr_1_91?keywords=ps4+games&qid=1646857960&sr=8-91
God of War Remastered (PS4),"1,988","₹1,988",4.5 out of 5 stars,https://www.amazon.com//Bethesda-Doom-Eternal-PS4/dp/B07DRS8C91/ref=sr_1_92?keywords=ps4+games&qid=1646857960&sr=8-92
Grand Theft Auto: The Trilogy - The Definitive Edition (PS4),889,₹889,4.5 out of 5 stars,https://www.amazon.com//God-of-War-Remastered-PS4/dp/B00YORZL4A/ref=sr_1_93?keywords=ps4+games&qid=1646857960&sr=8-93
Marvel's Spider Man (PS4) - Game of the Year Edition (PS4) + Grand Theft Auto V – Premium,"3,499","₹3,499",3.7 out of 5 stars,https://www.amazon.com//Grand-Theft-Auto-Trilogy-Definitive/dp/B09MDJD84W/ref=sr_1_94?keywords=ps4+games&qid=1646857960&sr=8-94
Battlefield 1 (PS4),"2,850","₹2,850",4.0 out of 5 stars,https://www.amazon.com//Marvels-Spider-Man-PS4-Premium/dp/B08JMN66YH/ref=sr_1_95?keywords=ps4+games&qid=1646857960&sr=8-95
UFC 3 (PS4),920,₹920,4.3 out of 5 stars,https://www.amazon.com//Electronic-Arts-Battlefield-1-PS4/dp/B01FH6YI9A/ref=sr_1_96?keywords=ps4+games&qid=1646857960&sr=8-96
